Date : 2024-03-28 11:48:02
Directory : /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend
Total : 85 files,  4589 codes, 485 comments, 617 blanks, all 5691 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/middlewares/role-limitation.js                                                | JavaScript         |         18 |          2 |          7 |         27 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/middlewares/zod.js                                                            | JavaScript         |         10 |         11 |          0 |         21 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migration.js                                                                  | JavaScript         |          5 |          0 |          1 |          6 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1709298577459_create_table_users.js                                | JavaScript         |         31 |          0 |          0 |         31 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1709300900527_create_table_roles.js                                | JavaScript         |         11 |          1 |          0 |         12 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1709302629931_seed_roles.js                                        | JavaScript         |         11 |          0 |          0 |         11 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1709304238152_users_add_fk_role_id.js                              | JavaScript         |         11 |          0 |          0 |         11 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1709308594538_create_table_departments.js                          | JavaScript         |         11 |          0 |          0 |         11 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1709308605107_create_table_designations.js                         | JavaScript         |         14 |          0 |          0 |         14 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1709315420437_create_report_to.js                                  | JavaScript         |         10 |          0 |          0 |         10 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1709315923943_users_add_department_id.js                           | JavaScript         |          4 |          0 |          0 |          4 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1709315936286_users_add_fk_department_id.js                        | JavaScript         |          6 |          0 |          0 |          6 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1709317478622_users_add_designation_id.js                          | JavaScript         |          4 |          0 |          0 |          4 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1709317484666_users_add_fk_designation_id.js                       | JavaScript         |          6 |          0 |          0 |          6 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1709317931204_seed_admin_user.js                                   | JavaScript         |         12 |          0 |          1 |         13 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1709533659186_create_table_files.js                                | JavaScript         |         14 |          0 |          0 |         14 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1709969858016_users_add_avatar_id.js                               | JavaScript         |          4 |          0 |          0 |          4 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1709969910025_users_add_fk_avatar_id.js                            | JavaScript         |          6 |          0 |          0 |          6 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1709982398109_users_add_employment_agreement_id.js                 | JavaScript         |         10 |          0 |          0 |         10 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1709982456595_users_add_fk_employment_agreement_id.js              | JavaScript         |         11 |          0 |          0 |         11 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1710946902635_timebox_2.js                                         | JavaScript         |          8 |          0 |          0 |          8 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1710946915413_create_table_holidays.js                             | JavaScript         |         14 |          0 |          1 |         15 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1710975501824_users_add_col_report_to.js                           | JavaScript         |         10 |          0 |          2 |         12 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1711004088235_users_add_fk_report_to_user_id.js                    | JavaScript         |         11 |          0 |          1 |         12 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1711005294157_create_table_leaves.js                               | JavaScript         |         20 |          0 |          0 |         20 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1711006245087_create_table_users_leaves.js                         | JavaScript         |         19 |          0 |          1 |         20 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1711006804474_create_table_users_leaves_requests.js                | JavaScript         |         37 |          0 |          3 |         40 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1711164944443_create_table_users_notifications.js                  | JavaScript         |         24 |          0 |          3 |         27 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1711189195370_create_table_users_shifts.js                         | JavaScript         |         18 |          0 |          2 |         20 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1711190162438_create_table_users_attendances.js                    | JavaScript         |         22 |          0 |          3 |         25 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1711191242243_create_table_users_attendances_requests.js           | JavaScript         |         34 |          0 |          6 |         40 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1711211607265_users_overtimes_requests.js                          | JavaScript         |         29 |          0 |          5 |         34 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1711220374966_users_notifications_add_col_attendance_request_id.js | JavaScript         |          9 |          0 |          0 |          9 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1711220381024_users_notifications_add_fk_attendance_request_id.js  | JavaScript         |         12 |          0 |          0 |         12 |
