"filename", "language", "TypeScript", "HTML", "JSON", "JavaScript JSX", "CSS", "XML", "JavaScript", "JSON with Comments", "Markdown", "comment", "blank", "total"
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/pages/LeaveTypes/LeaveTypesPage.jsx", "JavaScript JSX", 0, 0, 0, 128, 0, 0, 0, 0, 0, 9, 7, 144
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/pages/Leaves/LeaveRequestsPage.jsx", "JavaScript JSX", 0, 0, 0, 148, 0, 0, 0, 0, 0, 7, 9, 164
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/pages/Leaves/LeavesPage.jsx", "JavaScript JSX", 0, 0, 0, 111, 0, 0, 0, 0, 0, 8, 8, 127
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/pages/LoginPage.jsx", "JavaScript JSX", 0, 0, 0, 113, 0, 0, 0, 0, 0, 3, 18, 134
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/pages/NotFoundPage.jsx", "JavaScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/pages/Overtimes/OvertimesPage.jsx", "JavaScript JSX", 0, 0, 0, 180, 0, 0, 0, 0, 0, 14, 11, 205
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/pages/Schedules/ScheduleDetailPage.jsx", "JavaScript JSX", 0, 0, 0, 299, 0, 0, 0, 0, 0, 42, 32, 373
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/pages/Schedules/SchedulesPage.jsx", "JavaScript JSX", 0, 0, 0, 117, 0, 0, 0, 0, 0, 5, 11, 133
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/services/department.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 67
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/services/designations.ts", "TypeScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 86
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/services/employeeService.ts", "TypeScript", 109, 0, 0, 0, 0, 0, 0, 0, 0, 15, 14, 138
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/services/holiday.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 79
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/services/signin.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/style/fonts.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/style/tailwind.css", "CSS", 0, 0, 0, 0, 1990, 0, 0, 0, 0, 167, 602, 2759
